"Multi-PIP Response Magnitude to Impedance Calibration"
"Name",High
"Load Resistance",10000000
"Input Gain",IA_CTRL_PGA_GAIN5
"Output Vpp",IA_CTRL_VOLT_2000
"Rfb Select",False
"Frequency (Hz)","Gain"
100,2.26294736579944E-10
102,2.14521160070072E-10
104,2.20368583812624E-10
106,2.25876399511743E-10
108,2.24520207795452E-10
110,2.18873407574533E-10
112,2.17866991973895E-10
114,2.12417183399678E-10
116,2.139484110628E-10
118,2.14740162430238E-10
120,2.20599566120788E-10
122,2.15733287260379E-10
124,2.19982204159496E-10
126,2.13506638211396E-10
128,2.11875819530634E-10
130,2.14151911141675E-10
132,2.15045807216402E-10
134,2.15857393344815E-10
136,2.23434819125551E-10
138,2.15395219718007E-10
140,2.1745657166753E-10
142,2.09139127267706E-10
144,2.07862477116868E-10
146,2.13119359038319E-10
148,2.10235797101065E-10
150,2.14305779056881E-10
152,2.16887084738583E-10
154,2.15305336464877E-10
156,2.13954287259685E-10
158,2.09211888425083E-10
160,2.07530525186051E-10
162,2.10840532950334E-10
164,2.11324416401249E-10
166,2.14143072582259E-10
168,2.15777478642736E-10
170,2.15781497387886E-10
172,2.17834424244811E-10
174,2.14391952131008E-10
176,2.11632272838759E-10
178,2.12144073873788E-10
180,2.13690336755003E-10
182,2.12534690817331E-10
184,2.14730260729578E-10
186,2.11700077633608E-10
188,2.09073295839613E-10
190,2.10776359620652E-10
192,2.11664981702527E-10
194,2.12662972251441E-10
196,2.13367596282196E-10
198,2.14664449242062E-10
200,2.10228363710523E-10
202,2.09276017764794E-10
204,2.10282738584577E-10
206,2.04965375561562E-10
208,2.09759797901197E-10
210,2.10638374871217E-10
212,2.09940925686314E-10
214,2.10865374857792E-10
216,2.09546006420658E-10
218,2.14097424119358E-10
220,2.11730444953783E-10
222,2.05874223206979E-10
224,2.08274583598799E-10
226,2.12784741899608E-10
228,2.11912923712801E-10
230,2.0811440446219E-10
232,2.12661529596465E-10
234,2.08181138437101E-10
236,2.08512147633005E-10
238,2.09452218546797E-10
240,2.09081521368559E-10
242,2.10520717529039E-10
244,2.11379174177474E-10
246,2.14718380496605E-10
248,2.08437397073883E-10
250,2.11188178874856E-10
252,2.10161498657844E-10
254,2.08437397073883E-10
256,2.06641123269748E-10
258,2.14036604887806E-10
260,2.09610904075159E-10
262,2.07619964124328E-10
264,2.06843925125271E-10
266,2.11246130105365E-10
268,2.07785282899691E-10
270,2.07324362335046E-10
272,2.10953564189936E-10
274,2.06575858892866E-10
276,2.10037688343367E-10
278,2.0848450320876E-10
280,2.04914160738833E-10
282,2.07028244864808E-10
284,2.10084033613445E-10
286,2.06611570247934E-10
288,2.09200900742358E-10
290,2.13626451422429E-10
292,2.11863931288393E-10
294,2.12290781068589E-10
296,2.11863931288393E-10
298,2.14130798620593E-10
300,2.07467093660572E-10
302,2.10970464135021E-10
304,2.12302262866088E-10
306,2.0531760043927E-10
308,2.07023364681512E-10
310,2.11414600577881E-10
312,2.13651315999563E-10
314,2.11795968981597E-10
316,2.10503459037047E-10
318,2.13626451422429E-10
320,2.1049646356019E-10
322,2.10509522347846E-10
324,2.07884035048773E-10
326,2.03972921373313E-10
328,2.09639459724958E-10
330,2.1051885154147E-10
332,2.0872278711095E-10
334,2.09378747483726E-10
336,2.12671628797903E-10
338,2.06099719133574E-10
340,2.05129607728609E-10
342,2.06314101111147E-10
344,2.06435397728094E-10
346,2.06468835829556E-10
348,2.09459569907719E-10
350,2.04690814433873E-10
352,2.05649900681713E-10
354,2.05933584402175E-10
356,2.09950179484779E-10
358,2.07720721282559E-10
360,2.09420983895882E-10
362,2.05229806213172E-10
364,2.05738235374754E-10
366,2.10722536711372E-10
368,2.04997242805626E-10
370,2.07382757349456E-10
372,2.08073403932884E-10
374,2.09173439107753E-10
376,2.09202274108025E-10
378,2.10840064319487E-10
380,2.10375319333377E-10
382,2.07382757349456E-10
384,2.16870762789085E-10
386,2.07094383183096E-10
388,2.07112149231399E-10
390,2.066481825838E-10
392,2.07749856226762E-10
394,2.06667158075827E-10
396,2.08614209940467E-10
398,2.12073934056684E-10
400,2.08402088419463E-10
402,2.04581555385272E-10
404,2.03090171237124E-10
406,2.05474005851249E-10
408,2.07684431808961E-10
410,2.08069800649443E-10
412,2.09369569036085E-10
414,2.10388821211232E-10
416,2.06872692634856E-10
418,2.0941776935738E-10
420,2.1108041287001E-10
422,2.10223253711879E-10
424,2.07423797095685E-10
426,2.06872692634856E-10
428,2.08455511039075E-10
430,2.09369569036085E-10
432,2.08593785489211E-10
434,2.06741345020655E-10
436,2.09759797901197E-10
438,2.12088242654883E-10
440,2.11999576001272E-10
442,2.03628826614706E-10
444,2.08210467572992E-10
446,2.09369569036085E-10
448,2.06985665807544E-10
450,2.06929820643175E-10
452,2.08408877151772E-10
454,2.01806175708561E-10
456,2.04358440253236E-10
458,2.1127158718308E-10
460,2.05879895220073E-10
462,2.06131242626384E-10
464,2.06082649945794E-10
466,2.05189622812006E-10
468,2.07781694563767E-10
470,2.0630136858626E-10
472,2.02715937420272E-10
474,2.11940526642276E-10
476,2.09680010369935E-10
478,2.08004523565163E-10
480,2.07179701938182E-10
482,2.10002023379243E-10
484,2.07972582701926E-10
486,2.11053144596564E-10
488,2.08893946762571E-10
490,2.09170235954785E-10
492,2.08240712121481E-10
494,2.07721169419634E-10
496,2.11643648114904E-10
498,2.08695513306623E-10
500,2.08619696518241E-10
502,2.07282734624405E-10
504,2.05125872790693E-10
506,2.04230066131691E-10
508,2.03501227237133E-10
510,2.00984642888978E-10
512,1.98909363556492E-10
514,1.98047857693282E-10
516,1.98476816307512E-10
518,1.9817944157481E-10
520,1.97470030259211E-10
522,1.97305971859175E-10
524,1.9809867414735E-10
526,1.98580550611984E-10
528,1.99099221726359E-10
530,1.98707330037876E-10
532,1.99650137546651E-10
534,2.00047014598883E-10
536,1.9985303710865E-10
538,2.00208152429522E-10
540,2.00589844894495E-10
542,2.00759864276036E-10
544,2.01004405654069E-10
546,2.01925521767922E-10
548,2.02838656832839E-10
550,2.03316530019678E-10
552,2.04081092536798E-10
554,2.04297851889221E-10
556,2.03304843237664E-10
558,2.02950232208268E-10
560,2.02210479081762E-10
562,2.01349021635442E-10
564,2.01041514604828E-10
566,1.99808254461091E-10
568,1.99370089577504E-10
570,1.98748937593537E-10
572,1.98577866777971E-10
574,1.98444658425938E-10
576,1.97563018587847E-10
578,1.96091240732432E-10
580,1.95204948195542E-10
582,1.94942442918375E-10
584,1.95290715856756E-10
586,1.95560420032159E-10
588,1.95166569844768E-10
590,1.96170240105598E-10
592,1.97441855811391E-10
594,1.98856063845541E-10
596,1.99185396386487E-10
598,2.00167223113879E-10
600,2.00530969759742E-10
602,2.01469235624232E-10
604,2.01570396963604E-10
606,2.02042289783913E-10
608,2.01821951727913E-10
610,2.02732771948476E-10
612,2.02656608297288E-10
614,2.02774695086195E-10
616,2.02905784866293E-10
618,2.02346595184546E-10
620,2.02173301111836E-10
622,2.02080083110982E-10
624,2.01561413690217E-10
626,2.01149661080788E-10
628,2.01001171329154E-10
630,2.00628698801884E-10
632,2.00684130114243E-10
634,1.9931109659289E-10
636,1.98784424145609E-10
638,1.98367432534407E-10
640,1.97759022726069E-10
642,1.965781884793E-10
644,1.9615828910358E-10
646,1.96901387069018E-10
648,1.9763257470692E-10
650,1.97645119615865E-10
652,1.97093043331037E-10
654,1.97760755580384E-10
656,1.9856208398542E-10
658,1.98942904658931E-10
660,1.98930468335475E-10
662,1.99588874764169E-10
664,2.00719273063902E-10
666,2.0170196801447E-10
668,2.0145770721823E-10
670,2.01765499309429E-10
672,2.01816591074288E-10
674,2.01595183397747E-10
676,2.01676852396708E-10
678,2.01640970030019E-10
680,2.02105158673941E-10
682,2.0286469844972E-10
684,2.02185634952934E-10
686,2.02602466684362E-10
688,2.02726211110798E-10
690,2.03532336329072E-10
692,2.03869343140122E-10
694,2.03099784711844E-10
696,2.02594099510594E-10
698,2.03583987833054E-10
700,2.03556421517256E-10
702,2.03710092620018E-10
704,2.03019162272671E-10
706,2.01790662488119E-10
708,2.01568650336728E-10
710,2.02203738634528E-10
712,2.01653101381703E-10
714,2.01226642796843E-10
716,2.00730413488384E-10
718,2.0042602920103E-10
720,2.00868219541077E-10
722,2.0030693322326E-10
724,2.00225812323454E-10
726,2.00347013462143E-10
728,2.00167611209172E-10
730,1.99876669787304E-10
732,1.99515918296146E-10
734,1.99605625320945E-10
736,2.00770540219203E-10
738,2.0039875718217E-10
740,2.00443196201239E-10
742,2.00657058431372E-10
744,2.01309597002451E-10
746,2.014582665348E-10
748,2.00926609327201E-10
750,2.00739974627881E-10
752,2.00675851587163E-10
754,2.0033885716911E-10
756,2.00743541592997E-10
758,1.99602185895014E-10
760,1.99674435957723E-10
762,2.0002709020033E-10
764,2.0055385273054E-10
766,2.00395802152866E-10
768,2.00786645615107E-10
770,2.00194092980634E-10
772,2.00932889256509E-10
774,2.00468969925772E-10
776,2.00576951927347E-10
778,1.99853231767575E-10
780,2.00306555008276E-10
782,2.00355450404455E-10
784,2.00663154635905E-10
786,2.01505558837567E-10
788,2.02119934712355E-10
790,2.01856110334825E-10
792,2.0206048242162E-10
794,2.00634492227092E-10
796,2.01086963070202E-10
798,2.00312653632582E-10
800,1.99359282722868E-10
802,1.98858298904328E-10
804,1.98483484009012E-10
806,1.97891496861969E-10
808,1.98534541727534E-10
810,1.96950319225641E-10
812,1.96865784608244E-10
814,1.96554232234748E-10
816,1.96857599845975E-10
818,1.96918663471844E-10
820,1.96987279166913E-10
822,1.96509536445531E-10
824,1.9663230529182E-10
826,1.96352211093358E-10
828,1.95800834050511E-10
830,1.95706229881335E-10
832,1.95192082942565E-10
834,1.95547011525859E-10
836,1.96009391864748E-10
838,1.97411095506985E-10
840,1.97706935120362E-10
842,1.98820684545532E-10
844,1.98776179916946E-10
846,1.99775342371674E-10
848,1.99900182706098E-10
850,2.00517711337785E-10
852,2.00087599669194E-10
854,2.0044777958009E-10
856,2.00465896076298E-10
858,2.0117431898711E-10
860,2.01098286101045E-10
862,2.00931291379208E-10
864,2.00815403285078E-10
866,2.00198615183836E-10
868,2.00732871028246E-10
870,2.00541669756889E-10
872,1.99829745914335E-10
874,1.99586455163594E-10
876,1.99678416082367E-10
878,1.98895856896886E-10
880,1.98822731918457E-10
882,1.97886152766584E-10
884,1.97473940753363E-10
886,1.97916244391828E-10
888,1.97565314864413E-10
890,1.97128411791499E-10
892,1.97200235567033E-10
894,1.96691183858139E-10
896,1.96766027976944E-10
898,1.97087324785469E-10
900,1.96281419737623E-10
902,1.96292408752406E-10
904,1.96264753114456E-10
906,1.97146855573406E-10
908,1.97451531721782E-10
910,1.97603098092498E-10
912,1.9781801710079E-10
914,1.98221517304405E-10
916,1.98729213830919E-10
918,1.9972434342005E-10
920,1.99306348107594E-10
922,1.99751541297313E-10
924,1.99879344975412E-10
926,1.99572163152107E-10
928,1.9954923903443E-10
930,1.9974235415278E-10
932,1.98779903883988E-10
934,1.98008131039658E-10
936,1.98325343397623E-10
938,1.98332422904042E-10
940,1.98519219632059E-10
942,1.98590274838298E-10
944,1.98391592612914E-10
946,1.98563554138387E-10
948,1.98627104951962E-10
950,1.98134156473613E-10
952,1.98127091114169E-10
954,1.97649810479073E-10
956,1.96505021533799E-10
958,1.96640024675944E-10
960,1.96275987572295E-10
962,1.96468564361205E-10
964,1.96663906986099E-10
966,1.96487222613917E-10
968,1.9692238552472E-10
970,1.98426566412491E-10
972,1.98480350403533E-10
974,1.98814679636322E-10
976,1.99031625071621E-10
978,1.99762686865949E-10
980,2.00189328969277E-10
982,1.99755306456967E-10
984,1.99100877150729E-10
986,1.99203356044502E-10
988,1.99340696636293E-10
990,1.99421004235983E-10
992,1.98552975110712E-10
994,1.98244324405474E-10
996,1.98236655200523E-10
998,1.98281905729207E-10
1000,1.97823471590089E-10
1025,1.97444882338771E-10
1050,1.97537732785841E-10
1075,1.97101265110568E-10
1100,1.96941713261799E-10
1125,1.96406591539236E-10
1150,1.9610928796589E-10
1175,1.96435318501679E-10
1200,1.96134864449632E-10
1225,1.95634267703456E-10
1250,1.95460880997253E-10
1275,1.95112341159247E-10
1300,1.94793675074633E-10
1325,1.95087000081228E-10
1350,1.94179410216725E-10
1375,1.9409838304491E-10
1400,1.93794811786175E-10
1425,1.93752670493999E-10
1450,1.93637608249021E-10
1475,1.93589855790707E-10
1500,1.92863501734937E-10
1525,1.92214019335958E-10
1550,1.91738284154849E-10
1575,1.90415826834778E-10
1600,1.89709871644905E-10
1625,1.89254792779204E-10
1650,1.89468674969336E-10
1675,1.8894404433396E-10
1700,1.88257247110964E-10
1725,1.87774165112961E-10
1750,1.87829717952307E-10
1775,1.87537926610521E-10
1800,1.87595362807754E-10
1825,1.87609887581521E-10
1850,1.8694630550243E-10
1875,1.87121294126766E-10
1900,1.87063106971218E-10
1925,1.87402638097222E-10
1950,1.87307031340868E-10
1975,1.86057572572448E-10
2000,1.85020228831081E-10
2025,1.8433934137683E-10
2050,1.83525788397281E-10
2075,1.82533505116937E-10
2100,1.81203587270963E-10
2125,1.80289721906383E-10
2150,1.80373167897737E-10
2175,1.79504309145198E-10
2200,1.79484608574887E-10
2225,1.79306535488724E-10
2250,1.79486595404151E-10
2275,1.79522799579701E-10
2300,1.79485343567582E-10
2325,1.78753308500643E-10
2350,1.78182231696366E-10
2375,1.77334868103563E-10
2400,1.76979364245399E-10
2425,1.75854885198632E-10
2450,1.75379403773541E-10
2475,1.74718774202857E-10
2500,1.74404339439901E-10
2525,1.75915147801269E-10
2550,1.77731550687295E-10
2575,1.78945942258434E-10
2600,1.80896869443533E-10
2625,1.82985130630301E-10
2650,1.8535715432479E-10
2675,1.87818752711515E-10
2700,1.88620569814066E-10
2725,1.89134113089398E-10
2750,1.89835115548107E-10
2775,1.90328198377354E-10
2800,1.9024080649977E-10
2825,1.90231356205812E-10
2850,1.89645085951331E-10
2875,1.89340760141411E-10
2900,1.89019778150142E-10
2925,1.88936145261658E-10
2950,1.88585883281882E-10
2975,1.8836480842512E-10
3000,1.87697473464926E-10
3025,1.8757161243026E-10
3050,1.87012543651914E-10
3075,1.8650358766263E-10
3100,1.86142304686369E-10
3125,1.85900080083097E-10
3150,1.85734759590371E-10
3175,1.85446255113454E-10
3200,1.85021542780105E-10
3225,1.84707044180833E-10
3250,1.84502834240544E-10
3275,1.83693846616021E-10
3300,1.83029047966748E-10
3325,1.82602691750385E-10
3350,1.82221240059719E-10
3375,1.82044483543267E-10
3400,1.81999440272121E-10
3425,1.81954478403452E-10
3450,1.81987071080166E-10
3475,1.81900217764562E-10
3500,1.81502456638676E-10
3525,1.8114243279585E-10
3550,1.80802028314469E-10
3575,1.80272844044306E-10
3600,1.79950790524886E-10
3625,1.79819081461318E-10
3650,1.7983370255955E-10
3675,1.79950656762747E-10
3700,1.80283097901042E-10
3725,1.80224120619256E-10
3750,1.80220467205302E-10
3775,1.79934548801059E-10
3800,1.7970017506788E-10
3825,1.79257408138376E-10
3850,1.79006275246167E-10
3875,1.78686626751473E-10
3900,1.78348139467088E-10
3925,1.78112773849754E-10
3950,1.77826687316891E-10
3975,1.77483750949693E-10
4000,1.77169326432541E-10
4025,1.7648285717828E-10
4050,1.75990238673209E-10
4075,1.75691716878518E-10
4100,1.75620042217146E-10
4125,1.7549225389532E-10
4150,1.75301090647335E-10
4175,1.75060838762418E-10
4200,1.75050478601246E-10
4225,1.74673112957904E-10
4250,1.74321902952824E-10
4275,1.7348308627566E-10
4300,1.73061903140599E-10
4325,1.72702854446362E-10
4350,1.72519242460992E-10
4375,1.7222959944715E-10
4400,1.72113413923788E-10
4425,1.72070159688804E-10
4450,1.71903491092394E-10
4475,1.71413305713002E-10
4500,1.7119078648617E-10
4525,1.70851950480937E-10
4550,1.70341692881677E-10
4575,1.70024457927056E-10
4600,1.69747195397951E-10
4625,1.69915628922813E-10
4650,1.70030835723119E-10
4675,1.7007028632936E-10
4700,1.70039437640225E-10
4725,1.70348475254328E-10
4750,1.70263124651666E-10
4775,1.69915444504976E-10
4800,1.69605819575322E-10
4825,1.69247016057511E-10
